field_type,technology,count
Security & Reverse Engineering,GitLab,1
Security & Reverse Engineering,Golang,1
Security & Reverse Engineering,HTML,1
Security & Reverse Engineering,Hyper-V,1
Security & Reverse Engineering,IP,1
Security & Reverse Engineering,Java,1
Security & Reverse Engineering,Jira,1
Security & Reverse Engineering,Kotlin,1
Security & Reverse Engineering,LDAP,1
Security & Reverse Engineering,"Linux (CentOS, Ubuntu)",1
Security & Reverse Engineering,Linux (user/kernel space),1
Security & Reverse Engineering,Multithreading,1
Security & Reverse Engineering,Network programming,1
Security & Reverse Engineering,Node.js,1
Security & Reverse Engineering,OpenID Connect,1
Security & Reverse Engineering,POSIX,1
Security & Reverse Engineering,PowerShell,1
Security & Reverse Engineering,Pytest,1
Security & Reverse Engineering,QA,1
Security & Reverse Engineering,QEMU,1
Security & Reverse Engineering,QUIC,1
Security & Reverse Engineering,Qt,1
Security & Reverse Engineering,RA VPN,1
Security & Reverse Engineering,RADIUS,1
Security & Reverse Engineering,RISC-V,1
Security & Reverse Engineering,Redis,1
Security & Reverse Engineering,Reverse engineering,1
Security & Reverse Engineering,SDL (безопасная разработка),1
Security & Reverse Engineering,SQL optimization,1
Security & Reverse Engineering,Selenium,1
Security & Reverse Engineering,Swift,1
Security & Reverse Engineering,TCP,1
Security & Reverse Engineering,TCP/IP,1
Security & Reverse Engineering,Test case,1
Security & Reverse Engineering,TypeScript/JavaScript,1
Security & Reverse Engineering,UDP,1
Security & Reverse Engineering,UEFI,1
Security & Reverse Engineering,Unit testing,1
Security & Reverse Engineering,VMWare,1
Security & Reverse Engineering,VMware,1
Security & Reverse Engineering,VirtualBox,1
Security & Reverse Engineering,Visual Studio 2022,1
Security & Reverse Engineering,WebSocket,1
Security & Reverse Engineering,WinAPI,1
Security & Reverse Engineering,WinDBG,1
Security & Reverse Engineering,WireGuard,1
Security & Reverse Engineering,Xlib,1
Security & Reverse Engineering,async/await,1
Security & Reverse Engineering,bash,1
Security & Reverse Engineering,cryptsetup,1
Security & Reverse Engineering,eBPF/BPF,1
Security & Reverse Engineering,iproute2,1
Security & Reverse Engineering,nftables,1
Security & Reverse Engineering,Драйверы (kernel-space),1
Security & Reverse Engineering,Криптография,1
Security & Reverse Engineering,Низкоуровневое программирование,1
Security & Reverse Engineering,виртуализация/контейнеризация,1
Security & Reverse Engineering,многопоточность,1
Video & Media,C++,5
Video & Media,Git,5
Video & Media,STL,5
Video & Media,Linux,4
Video & Media,Qt,4
Video & Media,ffmpeg,3
Video & Media,C/C++,2
Video & Media,Docker,2
Video & Media,JavaScript,2
Video & Media,Jenkins,2
Video & Media,Kubernetes,2
Video & Media,MS Visual Studio,2
Video & Media,PostgreSQL,2
Video & Media,Python,2
Video & Media,WebRTC,2
Video & Media,Windows,2
Video & Media,AI,1
Video & Media,Agile,1
Video & Media,Astra Linux,1
Video & Media,BACnet,1
Video & Media,Boost,1
Video & Media,Boost (boost.asio),1
Video & Media,C++ (C++17+),1
Video & Media,C++14+,1
Video & Media,C++20,1
Video & Media,CMake,1
Video & Media,CUDA (плюс),1
Video & Media,Carthage,1
Video & Media,Cloud Services,1
Video & Media,CocoaPods,1
Video & Media,DWH,1
Video & Media,Deep Learning,1
Video & Media,Fastlane,1
Video & Media,Frontend,1
Video & Media,G.722,1
Video & Media,Git Flow,1
Video & Media,GitLab CI,1
Video & Media,Go,1
Video & Media,Golang,1
Video & Media,GoogleTest,1
Video & Media,H.264,1
Video & Media,HTTP,1
Video & Media,Image/Video Processing,1
Video & Media,Instruments,1
Video & Media,Kafka,1
Video & Media,Linphone,1
Video & Media,MFC,1
Video & Media,MQTT,1
Video & Media,Microsoft Visual Studio,1
Video & Media,Mobile,1
Video & Media,Modbus TCP,1
Video & Media,Neural Networks,1
Video & Media,ONVIF,1
Video & Media,OPUS,1
Video & Media,Objective-C,1
Video & Media,Postgres,1
Video & Media,PushKit,1
Video & Media,Qt Creator,1
Video & Media,RTP,1
Video & Media,RTSP,1
Video & Media,Redmine,1
Video & Media,Ruby,1
Video & Media,SDP,1
Video & Media,SIP,1
Video & Media,SQL,1
Video & Media,Subversion (SVN),1
Video & Media,Swift,1
Video & Media,TCP/UDP (сетевое программирование),1
Video & Media,Transact-SQL,1
Video & Media,Unit-тесты,1
Video & Media,VP8,1
Video & Media,VoIP,1
Video & Media,"VoIP (SIP, RTP/RTCP)",1
Video & Media,XCFramework,1
Video & Media,ZeroMQ,1
Video & Media,audio/video codecs,1
Video & Media,gRPC,1
Video & Media,multithreading,1
Video & Media,Видео/видеопотоки,1
Video & Media,Компьютерное зрение,1
Video & Media,Микросервисная архитектура,1
Video & Media,Многопоточность,1
Video & Media,ООП,1
Video & Media,Планирование бюджета,1
Video & Media,Проектный менеджмент,1
Video & Media,Управление коммуникациями,1
Video & Media,интеграционные и модульные тесты,1
Video & Media,кросс‑платформенная разработка,1
Video & Media,многопоточность,1
Video & Media,работа с дампами,1
описание дефектов,выполнение и анализ результатов тестирования (bags & logs),1
